Created with UCDetector 2.0.0	2025-07-17 13:00:59	http://www.ucdetector.org/	Created by class: org.ucdetector.report.TextReport	
net.minecraft.src.ChunkProviderGenerate.<init>(ChunkProviderGenerate.java:8)	Change visibility of Class "ChunkProviderGenerate" to default - May cause compile errors!	ChunkProviderGenerate	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.ChunkProviderGenerate.ChunkProviderGenerate(ChunkProviderGenerate.java:40)	Change visibility of Constructor "ChunkProviderGenerate.ChunkProviderGenerate(World,long,boolean)" to default	ChunkProviderGenerate.ChunkProviderGenerate(World,long,boolean)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.ChunkProviderGenerate.noiseGen5(ChunkProviderGenerate.java:14)	Change visibility of Field "ChunkProviderGenerate.noiseGen5" to private	ChunkProviderGenerate.noiseGen5	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.ChunkProviderGenerate.mapFeaturesEnabled(ChunkProviderGenerate.java:18)	Change visibility of Field "ChunkProviderGenerate.mapFeaturesEnabled" to private	ChunkProviderGenerate.mapFeaturesEnabled	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.ChunkProviderGenerate.noiseArray(ChunkProviderGenerate.java:20)	Change visibility of Field "ChunkProviderGenerate.noiseArray" to private	ChunkProviderGenerate.noiseArray	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.ChunkProviderGenerate.caveGenerator(ChunkProviderGenerate.java:23)	Change visibility of Field "ChunkProviderGenerate.caveGenerator" to private	ChunkProviderGenerate.caveGenerator	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.ChunkProviderGenerate.ravineGenerator(ChunkProviderGenerate.java:24)	Change visibility of Field "ChunkProviderGenerate.ravineGenerator" to private	ChunkProviderGenerate.ravineGenerator	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.ChunkProviderGenerate.featureProvider(ChunkProviderGenerate.java:27)	Change visibility of Field "ChunkProviderGenerate.featureProvider" to private	ChunkProviderGenerate.featureProvider	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.ChunkProviderGenerate.noise5(ChunkProviderGenerate.java:34)	Change visibility of Field "ChunkProviderGenerate.noise5" to private	ChunkProviderGenerate.noise5	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.ChunkProviderGenerate.distanceArray(ChunkProviderGenerate.java:36)	Change visibility of Field "ChunkProviderGenerate.distanceArray" to private	ChunkProviderGenerate.distanceArray	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.ChunkProviderGenerate.unusedArray(ChunkProviderGenerate.java:37)	Field "ChunkProviderGenerate.unusedArray" has 0 references	ChunkProviderGenerate.unusedArray	org.ucdetector.analyzeMarkerReference	
net.minecraft.src.ChunkProviderGenerate.isOcean(ChunkProviderGenerate.java:38)	Change visibility of Field "ChunkProviderGenerate.isOcean" to private	ChunkProviderGenerate.isOcean	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.Packet131MapData.<init>(Packet131MapData.java:7)	Change visibility of Class "Packet131MapData" to default - May cause compile errors!	Packet131MapData	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.Packet131MapData.Packet131MapData(Packet131MapData.java:16)	Change visibility of Constructor "Packet131MapData.Packet131MapData(short,short,byte[])" to default	Packet131MapData.Packet131MapData(short,short,byte[])	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.Packet131MapData.itemID(Packet131MapData.java:8)	Change visibility of Field "Packet131MapData.itemID" to default	Packet131MapData.itemID	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.Packet131MapData.uniqueID(Packet131MapData.java:9)	Change visibility of Field "Packet131MapData.uniqueID" to default	Packet131MapData.uniqueID	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.Packet131MapData.itemData(Packet131MapData.java:10)	Change visibility of Field "Packet131MapData.itemData" to default	Packet131MapData.itemData	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.EntityAIMoveTwardsRestriction.<init>(EntityAIMoveTwardsRestriction.java:3)	Change visibility of Class "EntityAIMoveTwardsRestriction" to default - May cause compile errors!	EntityAIMoveTwardsRestriction	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.EntityAIMoveTwardsRestriction.EntityAIMoveTwardsRestriction(EntityAIMoveTwardsRestriction.java:10)	Change visibility of Constructor "EntityAIMoveTwardsRestriction.EntityAIMoveTwardsRestriction(EntityCreature,float)" to default	EntityAIMoveTwardsRestriction.EntityAIMoveTwardsRestriction(EntityCreature,float)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.Packet254ServerPing.<init>(Packet254ServerPing.java:7)	Change visibility of Class "Packet254ServerPing" to default - May cause compile errors!	Packet254ServerPing	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.TileEntityFurnace.<init>(TileEntityFurnace.java:3)	Change visibility of Class "TileEntityFurnace" to default - May cause compile errors!	TileEntityFurnace	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.TileEntityFurnace.getCookProgressScaled(TileEntityFurnace.java:99)	Change visibility of Method "TileEntityFurnace.getCookProgressScaled(int)" to default	TileEntityFurnace.getCookProgressScaled(int)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.TileEntityFurnace.getBurnTimeRemainingScaled(TileEntityFurnace.java:103)	Change visibility of Method "TileEntityFurnace.getBurnTimeRemainingScaled(int)" to default	TileEntityFurnace.getBurnTimeRemainingScaled(int)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.TileEntityFurnace.smeltItem(TileEntityFurnace.java:168)	Change visibility of Method "TileEntityFurnace.smeltItem()" to private	TileEntityFurnace.smeltItem()	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.TileEntityFurnace.getItemBurnTime(TileEntityFurnace.java:185)	Change visibility of Method "TileEntityFurnace.getItemBurnTime(ItemStack)" to private	TileEntityFurnace.getItemBurnTime(ItemStack)	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.TileEntityFurnace.isItemFuel(TileEntityFurnace.java:209)	Change visibility of Method "TileEntityFurnace.isItemFuel(ItemStack)" to default	TileEntityFurnace.isItemFuel(ItemStack)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.TileEntityFurnace.furnaceBurnTime(TileEntityFurnace.java:5)	Change visibility of Field "TileEntityFurnace.furnaceBurnTime" to default	TileEntityFurnace.furnaceBurnTime	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.TileEntityFurnace.currentItemBurnTime(TileEntityFurnace.java:6)	Change visibility of Field "TileEntityFurnace.currentItemBurnTime" to default	TileEntityFurnace.currentItemBurnTime	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.TileEntityFurnace.furnaceCookTime(TileEntityFurnace.java:7)	Change visibility of Field "TileEntityFurnace.furnaceCookTime" to default	TileEntityFurnace.furnaceCookTime	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.ItemAxe.<init>(ItemAxe.java:3)	Change visibility of Class "ItemAxe" to default - May cause compile errors!	ItemAxe	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.ItemAxe.blocksEffectiveAgainst(ItemAxe.java:4)	Change visibility of Field "ItemAxe.blocksEffectiveAgainst" to private	ItemAxe.blocksEffectiveAgainst	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.ChunkCache.<init>(ChunkCache.java:3)	Change visibility of Class "ChunkCache" to default - May cause compile errors!	ChunkCache	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.ChunkCache.ChunkCache(ChunkCache.java:10)	Change visibility of Constructor "ChunkCache.ChunkCache(World,int,int,int,int,int,int)" to default	ChunkCache.ChunkCache(World,int,int,int,int,int,int)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.ChunkCache.getLightValue(ChunkCache.java:87)	Change visibility of Method "ChunkCache.getLightValue(int,int,int)" to private	ChunkCache.getLightValue(int,int,int)	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.ChunkCache.getLightValueExt(ChunkCache.java:91)	Change visibility of Method "ChunkCache.getLightValueExt(int,int,int,boolean)" to private	ChunkCache.getLightValueExt(int,int,int,boolean)	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.ChunkCache.getSkyBlockTypeBrightness(ChunkCache.java:176)	Change visibility of Method "ChunkCache.getSkyBlockTypeBrightness(EnumSkyBlock,int,int,int)" to private	ChunkCache.getSkyBlockTypeBrightness(EnumSkyBlock,int,int,int)	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.ChunkCache.getSpecialBlockBrightness(ChunkCache.java:233)	Change visibility of Method "ChunkCache.getSpecialBlockBrightness(EnumSkyBlock,int,int,int)" to private	ChunkCache.getSpecialBlockBrightness(EnumSkyBlock,int,int,int)	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.BiomeGenAlphaCold.<init>(BiomeGenAlphaCold.java:3)	Change visibility of Class "BiomeGenAlphaCold" to default - May cause compile errors!	BiomeGenAlphaCold	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.BiomeGenAlphaCold.BiomeGenAlphaCold(BiomeGenAlphaCold.java:5)	Change visibility of Constructor "BiomeGenAlphaCold.BiomeGenAlphaCold(int)" to default	BiomeGenAlphaCold.BiomeGenAlphaCold(int)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.Packet50PreChunk.<init>(Packet50PreChunk.java:7)	Change visibility of Class "Packet50PreChunk" to default - May cause compile errors!	Packet50PreChunk	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.Packet50PreChunk.Packet50PreChunk(Packet50PreChunk.java:16)	Constructor "Packet50PreChunk.Packet50PreChunk(int,int,boolean)" has 0 references	Packet50PreChunk.Packet50PreChunk(int,int,boolean)	org.ucdetector.analyzeMarkerReference	
net.minecraft.src.Packet50PreChunk.xPosition(Packet50PreChunk.java:8)	Change visibility of Field "Packet50PreChunk.xPosition" to default	Packet50PreChunk.xPosition	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.Packet50PreChunk.yPosition(Packet50PreChunk.java:9)	Change visibility of Field "Packet50PreChunk.yPosition" to default	Packet50PreChunk.yPosition	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.Packet50PreChunk.mode(Packet50PreChunk.java:10)	Change visibility of Field "Packet50PreChunk.mode" to default	Packet50PreChunk.mode	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.EntitySenses.<init>(EntitySenses.java:5)	Change visibility of Class "EntitySenses" to default - May cause compile errors!	EntitySenses	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.EntitySenses.EntitySenses(EntitySenses.java:10)	Change visibility of Constructor "EntitySenses.EntitySenses(EntityLiving)" to default	EntitySenses.EntitySenses(EntityLiving)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.EntitySenses.clearSensingCache(EntitySenses.java:14)	Change visibility of Method "EntitySenses.clearSensingCache()" to default	EntitySenses.clearSensingCache()	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.EntitySenses.canSee(EntitySenses.java:19)	Change visibility of Method "EntitySenses.canSee(Entity)" to default	EntitySenses.canSee(Entity)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.EntitySenses.entityObj(EntitySenses.java:6)	Change visibility of Field "EntitySenses.entityObj" to private	EntitySenses.entityObj	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.EntitySenses.canSeeCachePositive(EntitySenses.java:7)	Change visibility of Field "EntitySenses.canSeeCachePositive" to private	EntitySenses.canSeeCachePositive	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.EntitySenses.canSeeCacheNegative(EntitySenses.java:8)	Change visibility of Field "EntitySenses.canSeeCacheNegative" to private	EntitySenses.canSeeCacheNegative	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.ItemSaddle.<init>(ItemSaddle.java:3)	Change visibility of Class "ItemSaddle" to default - May cause compile errors!	ItemSaddle	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.ItemSaddle.ItemSaddle(ItemSaddle.java:4)	Change visibility of Constructor "ItemSaddle.ItemSaddle(int)" to default	ItemSaddle.ItemSaddle(int)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.Vec3.<init>(Vec3.java:3)	Change visibility of Class "Vec3" to default - May cause compile errors!	Vec3	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.Vec3.createVectorHelper(Vec3.java:20)	Method "Vec3.createVectorHelper(double,double,double)" has 0 references	Vec3.createVectorHelper(double,double,double)	org.ucdetector.analyzeMarkerReference	
net.minecraft.src.Vec3.getVec3Pool(Vec3.java:24)	Change visibility of Method "Vec3.getVec3Pool()" to private	Vec3.getVec3Pool()	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.Vec3.subtract(Vec3.java:59)	Method "Vec3.subtract(Vec3)" has 0 references	Vec3.subtract(Vec3)	org.ucdetector.analyzeMarkerReference	
net.minecraft.src.Vec3.normalize(Vec3.java:67)	Method "Vec3.normalize()" has 0 references	Vec3.normalize()	org.ucdetector.analyzeMarkerReference	
net.minecraft.src.Vec3.dotProduct(Vec3.java:74)	Method "Vec3.dotProduct(Vec3)" has 0 references	Vec3.dotProduct(Vec3)	org.ucdetector.analyzeMarkerReference	
net.minecraft.src.Vec3.crossProduct(Vec3.java:81)	Method "Vec3.crossProduct(Vec3)" has 0 references	Vec3.crossProduct(Vec3)	org.ucdetector.analyzeMarkerReference	
net.minecraft.src.Vec3.addVector(Vec3.java:91)	Method "Vec3.addVector(double,double,double)" has 0 references	Vec3.addVector(double,double,double)	org.ucdetector.analyzeMarkerReference	
net.minecraft.src.Vec3.distanceTo(Vec3.java:98)	Method "Vec3.distanceTo(Vec3)" has 0 references	Vec3.distanceTo(Vec3)	org.ucdetector.analyzeMarkerReference	
net.minecraft.src.Vec3.squareDistanceTo(Vec3.java:108)	Method "Vec3.squareDistanceTo(Vec3)" has 0 references	Vec3.squareDistanceTo(Vec3)	org.ucdetector.analyzeMarkerReference	
net.minecraft.src.Vec3.squareDistanceTo(Vec3.java:119)	Method "Vec3.squareDistanceTo(double,double,double)" has 0 references	Vec3.squareDistanceTo(double,double,double)	org.ucdetector.analyzeMarkerReference	
net.minecraft.src.Vec3.lengthVector(Vec3.java:129)	Method "Vec3.lengthVector()" has 0 references	Vec3.lengthVector()	org.ucdetector.analyzeMarkerReference	
net.minecraft.src.Vec3.getIntermediateWithXValue(Vec3.java:138)	Method "Vec3.getIntermediateWithXValue(Vec3,double)" has 0 references	Vec3.getIntermediateWithXValue(Vec3,double)	org.ucdetector.analyzeMarkerReference	
net.minecraft.src.Vec3.getIntermediateWithYValue(Vec3.java:158)	Method "Vec3.getIntermediateWithYValue(Vec3,double)" has 0 references	Vec3.getIntermediateWithYValue(Vec3,double)	org.ucdetector.analyzeMarkerReference	
net.minecraft.src.Vec3.getIntermediateWithZValue(Vec3.java:178)	Method "Vec3.getIntermediateWithZValue(Vec3,double)" has 0 references	Vec3.getIntermediateWithZValue(Vec3,double)	org.ucdetector.analyzeMarkerReference	
net.minecraft.src.Vec3.rotateAroundX(Vec3.java:201)	Method "Vec3.rotateAroundX(float)" has 0 references	Vec3.rotateAroundX(float)	org.ucdetector.analyzeMarkerReference	
net.minecraft.src.Vec3.rotateAroundY(Vec3.java:215)	Method "Vec3.rotateAroundY(float)" has 0 references	Vec3.rotateAroundY(float)	org.ucdetector.analyzeMarkerReference	
net.minecraft.src.Vec3.rotateAroundZ(Vec3.java:229)	Method "Vec3.rotateAroundZ(float)" has 0 references	Vec3.rotateAroundZ(float)	org.ucdetector.analyzeMarkerReference	
net.minecraft.src.Vec3.xCoord(Vec3.java:7)	Change visibility of Field "Vec3.xCoord" to private	Vec3.xCoord	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.Vec3.yCoord(Vec3.java:10)	Change visibility of Field "Vec3.yCoord" to private	Vec3.yCoord	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.Vec3.zCoord(Vec3.java:13)	Change visibility of Field "Vec3.zCoord" to private	Vec3.zCoord	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.Vec3LocalPool.func_72342_a(Vec3LocalPool.java:4)	Change visibility of Method "Vec3LocalPool.func_72342_a()" to private	Vec3LocalPool.func_72342_a()	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.RenderWolf.<init>(RenderWolf.java:3)	Change visibility of Class "RenderWolf" to default - May cause compile errors!	RenderWolf	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.RenderWolf.RenderWolf(RenderWolf.java:4)	Change visibility of Constructor "RenderWolf.RenderWolf(ModelBase,float)" to default	RenderWolf.RenderWolf(ModelBase,float)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.RenderWolf.renderWolf(RenderWolf.java:8)	Change visibility of Method "RenderWolf.renderWolf(EntityWolf,double,double,double,*,*)" to private	RenderWolf.renderWolf(EntityWolf,double,double,double,*,*)	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.RenderWolf.getTailRotation(RenderWolf.java:12)	Change visibility of Method "RenderWolf.getTailRotation(EntityWolf,float)" to private	RenderWolf.getTailRotation(EntityWolf,float)	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.RenderWolf.func_25006_b(RenderWolf.java:16)	Change visibility of Method "RenderWolf.func_25006_b(EntityWolf,float)" to private	RenderWolf.func_25006_b(EntityWolf,float)	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.NetworkManager.<init>(NetworkManager.java:14)	Change visibility of Class "NetworkManager" to default - May cause compile errors!	NetworkManager	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.NetworkManager.NetworkManager(NetworkManager.java:41)	Change visibility of Constructor "NetworkManager.NetworkManager(Socket,String,NetHandler)" to default	NetworkManager.NetworkManager(Socket,String,NetHandler)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.NetworkManager.addToSendQueue(NetworkManager.java:77)	Change visibility of Method "NetworkManager.addToSendQueue(Packet)" to default	NetworkManager.addToSendQueue(Packet)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.NetworkManager.wakeThreads(NetworkManager.java:135)	Change visibility of Method "NetworkManager.wakeThreads()" to default	NetworkManager.wakeThreads()	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.NetworkManager.networkShutdown(NetworkManager.java:173)	Change visibility of Method "NetworkManager.networkShutdown(String,Object[])" to default	NetworkManager.networkShutdown(String,Object[])	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.NetworkManager.processReadPackets(NetworkManager.java:202)	Change visibility of Method "NetworkManager.processReadPackets()" to default	NetworkManager.processReadPackets()	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.NetworkManager.serverShutdown(NetworkManager.java:233)	Change visibility of Method "NetworkManager.serverShutdown()" to default	NetworkManager.serverShutdown()	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.NetworkManager.threadSyncObject(NetworkManager.java:15)	Change visibility of Constant "NetworkManager.threadSyncObject" to default	NetworkManager.threadSyncObject	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.NetworkManager.numReadThreads(NetworkManager.java:16)	Change visibility of Field "NetworkManager.numReadThreads" to default	NetworkManager.numReadThreads	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.NetworkManager.numWriteThreads(NetworkManager.java:17)	Change visibility of Field "NetworkManager.numWriteThreads" to default	NetworkManager.numWriteThreads	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.NetworkManager.field_28145_d(NetworkManager.java:36)	Change visibility of Field "NetworkManager.field_28145_d" to private	NetworkManager.field_28145_d	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.NetworkManager.field_28144_e(NetworkManager.java:37)	Change visibility of Field "NetworkManager.field_28144_e" to private	NetworkManager.field_28144_e	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.NetworkManager.chunkDataSendCounter(NetworkManager.java:38)	Change visibility of Field "NetworkManager.chunkDataSendCounter" to private	NetworkManager.chunkDataSendCounter	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.BlockDirt.<init>(BlockDirt.java:3)	Change visibility of Class "BlockDirt" to default - May cause compile errors!	BlockDirt	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.WorldGenSwamp.<init>(WorldGenSwamp.java:5)	Change visibility of Class "WorldGenSwamp" to default - May cause compile errors!	WorldGenSwamp	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.IThreadedFileIO.<init>(IThreadedFileIO.java:3)	Change visibility of Interface "IThreadedFileIO" to default - May cause compile errors!	IThreadedFileIO	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.RenderMooshroom.<init>(RenderMooshroom.java:5)	Change visibility of Class "RenderMooshroom" to default - May cause compile errors!	RenderMooshroom	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.RenderMooshroom.RenderMooshroom(RenderMooshroom.java:6)	Change visibility of Constructor "RenderMooshroom.RenderMooshroom(ModelBase,float)" to default	RenderMooshroom.RenderMooshroom(ModelBase,float)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.RenderMooshroom.func_40273_a(RenderMooshroom.java:10)	Change visibility of Method "RenderMooshroom.func_40273_a(EntityMooshroom,double,double,double,*,*)" to private	RenderMooshroom.func_40273_a(EntityMooshroom,double,double,double,*,*)	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.RenderMooshroom.func_40272_a(RenderMooshroom.java:14)	Change visibility of Method "RenderMooshroom.func_40272_a(EntityMooshroom,float)" to private	RenderMooshroom.func_40272_a(EntityMooshroom,float)	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.Waypoint.<init>(Waypoint.java:3)	Change visibility of Class "Waypoint" to default - May cause compile errors!	Waypoint	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.Waypoint.Waypoint(Waypoint.java:13)	Change visibility of Constructor "Waypoint.Waypoint(String,int,int,boolean,int)" to default	Waypoint.Waypoint(String,int,int,boolean,int)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.Waypoint.Waypoint(Waypoint.java:21)	Change visibility of Constructor "Waypoint.Waypoint(String,int,int,boolean,int,float,*,*)" to default	Waypoint.Waypoint(String,int,int,boolean,int,float,*,*)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.Waypoint.name(Waypoint.java:4)	Change visibility of Field "Waypoint.name" to default	Waypoint.name	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.Waypoint.x(Waypoint.java:5)	Change visibility of Field "Waypoint.x" to default	Waypoint.x	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.Waypoint.z(Waypoint.java:6)	Change visibility of Field "Waypoint.z" to default	Waypoint.z	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.Waypoint.enabled(Waypoint.java:7)	Change visibility of Field "Waypoint.enabled" to default	Waypoint.enabled	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.Waypoint.red(Waypoint.java:8)	Change visibility of Field "Waypoint.red" to default	Waypoint.red	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.Waypoint.green(Waypoint.java:9)	Change visibility of Field "Waypoint.green" to default	Waypoint.green	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.Waypoint.blue(Waypoint.java:10)	Change visibility of Field "Waypoint.blue" to default	Waypoint.blue	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.Waypoint.dimension(Waypoint.java:11)	Change visibility of Field "Waypoint.dimension" to default	Waypoint.dimension	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.Packet10Flying.<init>(Packet10Flying.java:7)	Change visibility of Class "Packet10Flying" to default - May cause compile errors!	Packet10Flying	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.Packet10Flying.Packet10Flying(Packet10Flying.java:21)	Change visibility of Constructor "Packet10Flying.Packet10Flying(boolean)" to default	Packet10Flying.Packet10Flying(boolean)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.Packet10Flying.xPosition(Packet10Flying.java:8)	Change visibility of Field "Packet10Flying.xPosition" to default	Packet10Flying.xPosition	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.Packet10Flying.yPosition(Packet10Flying.java:9)	Change visibility of Field "Packet10Flying.yPosition" to default	Packet10Flying.yPosition	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.Packet10Flying.zPosition(Packet10Flying.java:10)	Change visibility of Field "Packet10Flying.zPosition" to default	Packet10Flying.zPosition	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.Packet10Flying.stance(Packet10Flying.java:11)	Change visibility of Field "Packet10Flying.stance" to default	Packet10Flying.stance	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.Packet10Flying.yaw(Packet10Flying.java:12)	Change visibility of Field "Packet10Flying.yaw" to default	Packet10Flying.yaw	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.Packet10Flying.pitch(Packet10Flying.java:13)	Change visibility of Field "Packet10Flying.pitch" to default	Packet10Flying.pitch	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.Packet10Flying.onGround(Packet10Flying.java:14)	Change visibility of Field "Packet10Flying.onGround" to default	Packet10Flying.onGround	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.Packet10Flying.moving(Packet10Flying.java:15)	Change visibility of Field "Packet10Flying.moving" to default	Packet10Flying.moving	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.Packet10Flying.rotating(Packet10Flying.java:16)	Change visibility of Field "Packet10Flying.rotating" to default	Packet10Flying.rotating	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.EntitySquid.<init>(EntitySquid.java:3)	Change visibility of Class "EntitySquid" to default - May cause compile errors!	EntitySquid	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.EntitySquid.EntitySquid(EntitySquid.java:19)	Constructor "EntitySquid.EntitySquid(World)" has 0 references	EntitySquid.EntitySquid(World)	org.ucdetector.analyzeMarkerReference	
net.minecraft.src.EntitySquid.field_21089_a(EntitySquid.java:4)	Change visibility of Field "EntitySquid.field_21089_a" to default	EntitySquid.field_21089_a	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.EntitySquid.field_21088_b(EntitySquid.java:5)	Change visibility of Field "EntitySquid.field_21088_b" to default	EntitySquid.field_21088_b	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.EntitySquid.field_21087_c(EntitySquid.java:6)	Change visibility of Field "EntitySquid.field_21087_c" to default	EntitySquid.field_21087_c	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.EntitySquid.field_21086_f(EntitySquid.java:7)	Change visibility of Field "EntitySquid.field_21086_f" to default	EntitySquid.field_21086_f	org.ucdetector.analyzeMarkerVisibilityDefault	
